Planet,Mass (10^24kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (AU),Aphelion (AU),Semi Major Axis (AU),Orbital Period (days),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?,Orbital Period (years)
Mercury,0.33,4879.0 AU,5429,3.7,4.3,1407.6,4222.6,57900000.0 AU km,46000000.0 AU km,69800000.0 AU km,57900000.0 AU km,88.0 d,47.4,7.0,0.206,0.034,167,0.0,0,,Yes,0.24093086926762491 yr
Venus,4.87,12104.0 AU,5243,8.9,10.4,-5832.5,2802.0,108200000.0 AU km,107500000.0 AU km,108900000.0 AU km,108200000.0 AU km,224.7 d,35.0,3.4,0.007,177.4,464,92.0,0,,No,0.6151950718685831 yr
Earth,5.97,12756.0 AU,5514,9.8,11.2,23.9,24.0,149600000.0 AU km,147100000.0 AU km,152100000.0 AU km,149600000.0 AU km,365.2 d,29.8,0.0,0.017,23.4,15,1.0,1,,Yes,0.9998631074606433 yr
Moon,0.073,3475.0 AU,3340,1.6,2.4,655.7,708.7,384000.0 AU km,363000.0 AU km,406000.0 AU km,384500.0 AU km,27.3 d,1.0,5.1,0.055,6.7,-20,0.0,0,,No,0.07474332648870637 yr
Mars,0.642,6792.0 AU,3934,3.7,5.0,24.6,24.7,228000000.0 AU km,206700000.0 AU km,249300000.0 AU km,228000000.0 AU km,687.0 d,24.1,1.8,0.094,25.2,-65,0.01,2,,No,1.8809034907597535 yr
Jupiter,1898.0,142984.0 AU,1326,23.1,59.5,9.9,9.9,778500000.0 AU km,740600000.0 AU km,816400000.0 AU km,778500000.0 AU km,4331.0 d,13.1,1.3,0.049,3.1,-110,,95,,Yes,11.85763175906913 yr
Saturn,568.0,120536.0 AU,687,9.0,35.5,10.7,10.7,1432000000.0 AU km,1357600000.0 AU km,1506500000.0 AU km,1432050000.0 AU km,10747.0 d,9.7,2.5,0.052,26.7,-140,,274,,Yes,29.423682409308693 yr
Uranus,86.8,51118.0 AU,1270,8.7,21.3,-17.2,17.2,2867000000.0 AU km,2732700000.0 AU km,3001400000.0 AU km,2867050000.0 AU km,30589.0 d,6.8,0.8,0.047,97.8,-195,,28,,Yes,83.74811772758385 yr
Neptune,102.0,49528.0 AU,1638,11.0,23.5,16.1,16.1,4515000000.0 AU km,4471100000.0 AU km,4558900000.0 AU km,4515000000.0 AU km,59800.0 d,5.4,1.8,0.01,28.3,-200,,16,,Yes,163.72347707049965 yr
Pluto,0.013,2376.0 AU,1850,0.7,1.3,-153.3,153.3,5906400000.0 AU km,4436800000.0 AU km,7375900000.0 AU km,5906350000.0 AU km,90560.0 d,4.7,17.2,0.244,119.5,-225,1e-05,5,,Unknown,247.93976728268308 yr
