Mag Temperature
9.27000 4745.14042
8.65000 5347.89507
10.78000 4409.23403
10.57000 4671.84462
9.93000 4585.18726
8.57000 5807.81555
8.61000 5320.17564
8.64000 5890.32201
10.35000 4664.87790
11.26000 4912.16728
12.43000 3808.60988
7.17000 5901.76826
7.66000 5465.16339
10.37000 4514.79264
9.80000 5120.21272
8.13000 5567.72874
7.53000 6059.08394
9.13000 5484.69904
8.22000 5830.07065
7.51000 5987.18998
7.06000 6561.60211
7.82000 5928.66280
11.65000 4194.27329
7.78000 5670.98353
3.88000 4711.74084
9.53000 4828.37418
11.55000 3958.59295
8.97000 5259.65801
10.03000 4133.99229
8.61000 5804.12406
8.44000 5471.65876
8.66000 5458.68445
10.41000 4017.00351
8.76000 5458.68445
9.42000 4835.86674
8.36000 5796.75614
7.32000 6295.15505
6.66000 6566.41052
7.42000 5815.21366
8.51000 5501.09296
8.57000 5618.84910
8.79000 4828.37418
11.06000 4197.98585
10.01000 4866.08438
10.51000 4103.63951
11.36000 4269.85533
11.30000 3950.39277
6.46000 6955.68024
10.83000 4214.77786
11.30000 4103.63951
7.21000 6495.07537
4.51000 9498.00450
7.46000 6225.70459
7.03000 6352.82742
5.16000 6664.20780
9.65000 5177.34991
11.21000 3839.19502
8.59000 5375.92390
9.83000 5140.05787
7.57000 5818.92029
7.88000 6051.00414
10.66000 4516.95806
8.68000 5571.10583
10.60000 4197.98585
11.33000 3966.82869
9.56000 4985.71771
7.57000 5905.59430
9.61000 4603.14856
7.52000 5856.26723
10.05000 4742.73818
9.02000 5452.22187
11.59000 4252.60166
8.46000 5442.55853
9.34000 5162.93900
10.11000 6087.54696
6.15000 6944.79335
10.68000 4589.66374
5.67000 7060.98880
7.74000 5771.12550
7.37000 6370.80305
8.54000 5162.93900
5.07000 9674.68763
6.90000 6476.33473
7.38000 6174.69026
9.56000 4625.80967
8.97000 5200.58599
7.37000 5959.72356
9.31000 5341.70865
8.37000 5785.74177
11.26000 4103.63951
6.72000 6547.22248
8.40000 5341.70865
6.06000 7480.98311
6.79000 5818.92029
6.99000 5524.22100
7.53000 6561.60211
7.11000 6153.69897
9.21000 5145.75795
7.34000 5841.26693
7.43000 6221.41872
10.22000 4161.16668
6.68000 6303.95410
8.78000 5445.77558
7.37000 6217.13920
9.92000 4917.34468
10.84000 4175.81301
6.95000 6051.00414
7.03000 6614.91772
5.38000 6321.63207
9.10000 5366.54624
6.63000 6260.22214
7.88000 5547.55763
10.97000 4086.00140
6.90000 6425.39544
6.15000 6282.00603
7.01000 6225.70459
9.93000 4840.87544
7.54000 6191.59470
7.63000 6312.77973
9.92000 5238.82115
6.39000 6754.96742
11.73000 3950.39277
10.15000 4972.41309
9.71000 5114.57251
8.45000 5341.70865
8.50000 6880.24182
6.76000 5987.18998
8.92000 5527.54196
7.19000 5882.71761
6.68000 4774.16903
7.92000 4764.45126
10.62000 4409.23403
7.53000 5717.01162
10.10000 4886.45232
7.17000 5256.67053
3.86000 8747.60629
8.99000 4695.22628
9.45000 5123.03778
10.00000 4774.16903
7.86000 6141.17779
10.56000 4545.30862
10.06000 4632.65390
9.56000 5058.88687
7.34000 6183.13003
6.91000 5778.42373
6.88000 6634.53870
9.84000 4946.02808
7.70000 6003.00758
10.81000 3839.19502
8.44000 5967.54345
6.20000 6659.24300
7.72000 5917.10441
10.08000 4830.86897
6.35000 6972.08034
7.26000 6462.35579
10.16000 4562.94200
8.15000 5756.58811
9.50000 4977.72590
